build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
,3.0,1,158,Orp-Jauche,3,1350.0,199000.0,vbd36885,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd36885,To renovate,0,,Walloon Brabant,house,to_renovate
2026,3.0,0,167,Wavre,4,1300.0,899000.0,vbd30851,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30851,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1895,2.0,1,220,Sterrebeek,3,1933.0,660000.0,vbd38688,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/vbd38688,To be renovated,0,1,Flemish Brabant,house,to_renovate
2023,4.0,1,309,Orp-Jauche,3,1350.0,435800.0,vbd42890,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd42890,New,0,0,Walloon Brabant,house,ready_to_move_in
2026,3.0,0,103,Wavre,2,1300.0,539000.0,vbd31958,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd31958,New,0,1,Walloon Brabant,apartment,ready_to_move_in
2005,4.0,1,250,Sterrebeek,6,1933.0,995000.0,vbd43889,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/vbd43889,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
,4.0,1,172,Orp-Jauche,2,1350.0,299000.0,vbd45903,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd45903,To be renovated,0,0,Walloon Brabant,house,to_renovate
,3.0,0,95,Wavre,3,1300.0,285000.0,vbd33547,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd33547,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
,2.0,1,122,Sterrebeek,3,1933.0,319000.0,vbd44704,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/vbd44704,To be renovated,0,1,Flemish Brabant,house,to_renovate
2023,4.0,1,309,Orp-Jauche,3,1350.0,539800.0,vbd50534,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd50534,New,0,0,Walloon Brabant,house,ready_to_move_in
1969,2.0,0,96,Wavre,2,1300.0,260000.0,vbd35347,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd35347,Excellent,0,1,Walloon Brabant,apartment,ready_to_move_in
1968,3.0,1,180,Sterrebeek,5,1933.0,495000.0,vbd50607,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/vbd50607,Normal,0,1,Flemish Brabant,house,ready_to_move_in
1815,3.0,1,200,Orp-Jauche,3,1350.0,299000.0,vbd51093,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd51093,To be renovated,0,0,Walloon Brabant,house,to_renovate
2028,3.0,0,65,Wavre,1,1300.0,265050.0,vbd37054,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd37054,New,0,1,Walloon Brabant,apartment,ready_to_move_in
2022,3.0,1,218,Orp-le-Grand,4,1350.0,,rbu32324,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu32324,New,0,0,Walloon Brabant,house,ready_to_move_in
